533.32	660
533.44	673
533.48	662
533.48	675
533.52	684
533.56	658
533.56	669
533.56	686
533.6	666
533.6	667
533.6	677
533.6	696
533.6	697
533.6	1009
533.64	656
533.64	682
533.64	687
533.64	693
533.64	695
533.68	657
533.68	663
533.68	668
533.68	674
533.68	676
533.68	691
533.68	698
533.72	606
533.72	645
533.72	650
533.72	655
533.72	665
533.72	681
533.72	688
533.76	622
533.76	631
533.76	654
533.76	672
533.76	679
533.76	690
533.8	570
533.8	604
533.8	620
533.8	637
533.8	643
533.8	644
533.8	651
533.8	664
533.8	680
533.8	683
533.8	692
533.84	594
533.84	601
533.84	602
533.84	616
533.84	621
533.84	629
533.84	648
533.84	659
533.84	661
533.84	671
533.84	678
533.84	694
533.88	608
533.88	633
533.88	641
533.88	653
533.88	689
533.88	1139
533.92	559
533.92	580
533.92	600
533.92	607
533.92	613
533.92	615
533.92	626
533.92	699
533.96	591
533.96	597
533.96	603
533.96	605
533.96	610
533.96	625
533.96	630
533.96	635
533.96	646
534	612
534	619
534	634
534	642
534	685
534.04	587
534.04	617
534.04	638
534.04	670
534.08	551
534.08	562
534.08	595
534.08	614
534.08	628
534.08	632
534.08	647
534.12	553
534.12	564
534.12	575
534.12	577
534.12	581
534.12	583
534.12	623
534.12	627
534.12	652
534.12	1115
534.12	1136
534.16	550
534.16	552
534.16	609
534.16	611
534.16	639
534.2	555
534.2	560
534.2	565
534.2	567
534.2	576
534.2	590
534.2	1024
534.24	513
534.24	554
534.24	558
534.24	618
534.24	649
534.28	521
534.28	546
534.28	557
534.28	566
534.28	569
534.28	573
534.28	578
534.28	585
534.28	636
534.28	640
534.32	563
534.32	589
534.32	598
534.36	527
534.36	541
534.36	568
534.36	571
534.36	572
534.36	579
534.36	593
534.36	955
534.4	514
534.4	523
534.4	526
534.4	584
534.4	586
534.4	588
534.4	596
534.4	624
534.44	501
534.44	510
534.44	516
534.44	599
534.44	979
534.44	1054
534.44	1079
534.44	1087
534.44	1130
534.48	556
534.48	574
534.48	1128
534.52	582
534.56	512
534.56	518
534.56	520
534.56	525
534.56	1102
534.56	1135
534.6	508
534.6	535
534.6	1116
534.64	509
534.64	592
534.68	507
534.68	530
534.68	531
534.68	533
534.68	539
534.68	1122
534.72	500
534.72	515
534.72	524
534.72	532
534.72	1091
534.72	1148
534.76	503
534.76	506
534.76	519
534.76	548
534.76	549
534.76	561
534.8	502
534.8	504
534.8	517
534.8	529
534.8	537
534.84	542
534.84	543
534.92	488
534.92	547
534.92	1051
534.96	534
534.96	1073
534.96	1121
535	540
535.04	484
535.04	536
535.04	538
535.04	1106
535.08	462
535.08	951
535.08	1112
535.12	454
535.12	498
535.16	458
535.16	544
535.16	1057
535.2	474
535.2	482
535.2	489
535.2	528
535.2	976
535.2	1085
535.2	1093
535.2	1110
535.24	463
535.24	485
535.24	493
535.24	505
535.24	511
535.24	1067
535.24	1143
535.28	423
535.28	522
535.32	402
535.32	406
535.32	1064
535.36	359
535.36	495
535.36	1020
535.36	1063
535.4	400
535.4	456
535.4	1129
535.4	1133
535.44	459
535.44	1117
535.48	408
535.48	466
535.48	479
535.48	487
535.48	496
535.48	545
535.48	1138
535.52	448
535.52	464
535.52	470
535.52	480
535.52	1101
535.56	468
535.6	416
535.64	452
535.68	270
535.68	450
535.68	1060
535.68	1108
535.72	391
535.72	407
535.72	442
535.76	381
535.76	440
535.8	421
535.8	435
535.8	436
535.8	473
535.8	481
535.8	483
535.8	1144
535.84	302
535.84	427
535.84	438
535.84	455
535.84	476
535.84	478
535.84	1119
535.88	429
535.92	362
535.92	401
535.92	453
535.92	469
535.92	475
535.92	477
535.92	490
535.92	492
535.96	460
535.96	491
536	444
536	1088
536	1089
536.04	325
536.04	340
536.04	461
536.04	1103
536.08	371
536.08	411
536.08	1107
536.12	1145
536.16	356
536.16	424
536.16	1141
536.2	276
536.2	425
536.24	332
536.24	350
536.24	499
536.28	365
536.28	376
536.28	405
536.28	457
536.28	494
536.32	446
536.32	465
536.32	486
536.32	1071
536.36	310
536.36	386
536.36	467
536.4	403
536.4	420
536.4	437
536.4	445
536.44	298
536.44	308
536.44	369
536.44	472
536.44	1061
536.44	1069
536.44	1096
536.44	1111
536.48	360
536.48	414
536.48	419
536.48	431
536.48	917
536.52	346
536.52	366
536.52	380
536.52	1059
536.56	353
536.56	497
536.6	307
536.6	379
